council,count,author
Bayside,1,Rod_Morri
Blacktown,5,Wandererstragic
Blue Mountains,231,BlumtsCtyCncl
Burwood,11,BurwoodLibrary
Camden,1,SydneyDragQueen
Campbelltown,8,KazRockchick
Canada Bay,6,Mozziebites
Canterbury-Bankstown,2,scatpaolo
Cumberland,200,CumberlandSyd
Fairfield,1,DRHarryGrass
Georges River,4,_LFC13_
Hornsby,5,KAROOLA7
Hunters Hill,121,HHillCouncil
Inner West,131,SamuelSoo123888
Ku-ring-gai,4,LillianHanes
Lane Cove,9,IntheCoveITC
Liverpool,10,PaulFletcherMP
Mosman,2,MosmanArt
North Sydney,4,BenJays2
Northern Beaches,8,Samoskal
Parramatta,3,seancurtis
Penrith,5,CrRobinCook1
Randwick,11,aconvict
Ryde,8,Newwayofdoing
Strathfield,10,hampton_lodge
Sutherland Shire,3,pennyfortheguy
Sydney,33,Nashtendo
The Hills Shire,11,Elizabe47299753
Waverley,2,claire_stuckey
Willoughby,4,GoldSuzie
Wollondilly,2,mattjhatton
Woollahra,6,shane_currey
